<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_98><b_249><c_89>	Closed fracture of shaft of tibia alone	ICD9CM:82320
<a_91><b_210><c_76>	Closed fracture of shaft of fibula alone	ICD9CM:82321
<a_98><b_210><c_3>	Closed fracture of shaft of fibula with tibia	ICD9CM:82322
<a_98><b_73><c_47>	Open fracture of shaft of fibula with tibia	ICD9CM:82332
<a_121><b_124><c_199>	Closed fracture of unspecified part of tibia alone	ICD9CM:82380
<a_91><b_58><c_139>	Closed fracture of unspecified part of fibula with tibia	ICD9CM:82382
<a_98><b_48><c_115>	Open fracture of unspecified part of fibula with tibia	ICD9CM:82392
<a_151><b_124><c_58>	Fracture of medial malleolus, closed	ICD9CM:8240
<a_91><b_216><c_52>	Fracture of medial malleolus, open	ICD9CM:8241
<a_151><b_210><c_52>	Fracture of lateral malleolus, closed	ICD9CM:8242
<a_121><b_124><c_73>	Bimalleolar fracture, closed	ICD9CM:8244
<a_98><b_210><c_90>	Bimalleolar fracture, open	ICD9CM:8245
<a_91><b_124><c_39>	Trimalleolar fracture, closed	ICD9CM:8246
<a_98><b_73><c_232>	Trimalleolar fracture, open	ICD9CM:8247
<a_121><b_125><c_109>	Unspecified fracture of ankle, closed	ICD9CM:8248
<a_121><b_210><c_198>	Fracture of calcaneus, closed	ICD9CM:8250
<a_98><b_216><c_212>	Closed fracture of astragalus	ICD9CM:82521
<a_91><b_130><c_232>	Closed fracture of cuneiform, foot	ICD9CM:82524
<a_151><b_210><c_192>	Closed fracture of metatarsal bone(s)	ICD9CM:82525
<a_98><b_89><c_124>	Open fracture of astragalus	ICD9CM:82531
<a_98><b_182><c_184>	Open fracture of navicular [scaphoid], foot	ICD9CM:82532
<a_91><b_73><c_53>	Open fracture of metatarsal bone(s)	ICD9CM:82535
<a_121><b_210><c_233>	Closed fracture of one or more phalanges of foot	ICD9CM:8260
<a_104><b_7><c_124>	Closed dislocation of jaw	ICD9CM:8300
<a_91><b_39><c_131>	Closed dislocation of shoulder, unspecified	ICD9CM:83100
<a_98><b_130><c_47>	Closed dislocation of acromioclavicular (joint)	ICD9CM:83104
<a_151><b_184><c_90>	Closed dislocation of wrist, unspecified part	ICD9CM:83300
<a_151><b_211><c_206>	Closed dislocation of finger, unspecified part	ICD9CM:83400
<a_91><b_210><c_14>	Closed dislocation of metacarpophalangeal (joint)	ICD9CM:83401
<a_121><b_124><c_90>	Closed dislocation of interphalangeal (joint), hand	ICD9CM:83402
<a_98><b_73><c_109>	Closed dislocation of hip, unspecified site	ICD9CM:83500
<a_221><b_73><c_157>	Closed posterior dislocation of hip	ICD9CM:83501
<a_227><b_174><c_151>	Tear of medial cartilage or meniscus of knee, current	ICD9CM:8360
<a_227><b_174><c_84>	Tear of lateral cartilage or meniscus of knee, current	ICD9CM:8361
<a_91><b_130><c_221>	Dislocation of knee, unspecified, closed	ICD9CM:83650
<a_98><b_89><c_47>	Closed dislocation of ankle	ICD9CM:8370
<a_104><b_185><c_184>	Open dislocation of ankle	ICD9CM:8371
<a_226><b_89><c_47>	Closed dislocation, first cervical vertebra	ICD9CM:83901
<a_226><b_73><c_131>	Closed dislocation, fifth cervical vertebra	ICD9CM:83905
<a_246><b_89><c_193>	Closed dislocation, multiple cervical vertebrae	ICD9CM:83908
<a_226><b_89><c_193>	Closed dislocation, lumbar vertebra	ICD9CM:83920
<a_114><b_246><c_214>	Rotator cuff (capsule) sprain	ICD9CM:8404
<a_114><b_57><c_179>	Superior glenoid labrum lesion	ICD9CM:8407
<a_208><b_227><c_98>	Sprains and strains of other specified sites of shoulder and upper arm	ICD9CM:8408
<a_208><b_234><c_10>	Sprain of medial collateral ligament of knee	ICD9CM:8441
<a_208><b_34><c_187>	Sprain of ankle, unspecified site	ICD9CM:84500
<a_208><b_206><c_40>	Sprain of unspecified site of sacroiliac region	ICD9CM:8469
<a_208><b_88><c_28>	Sprain of neck	ICD9CM:8470
<a_208><b_88><c_23>	Sprain of thoracic	ICD9CM:8471
<a_208><b_88><c_36>	Sprain of lumbar	ICD9CM:8472
<a_208><b_206><c_142>	Sprain of unspecified site of back	ICD9CM:8479
<a_208><b_234><c_36>	Other specified sites of sprains and strains	ICD9CM:8488
<a_59><b_24><c_202>	Concussion with no loss of consciousness	ICD9CM:8500
<a_59><b_24><c_36>	Concussion, with loss of consciousness of 30 minutes or less	ICD9CM:85011
<a_59><b_193><c_221>	Concussion with moderate loss of consciousness	ICD9CM:8502
<a_59><b_53><c_205>	Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	ICD9CM:85102
<a_59><b_189><c_36>	Cerebellar or brain stem contusion without mention of open intracranial wound, unspecified state of consciousness	ICD9CM:85140
<a_59><b_227><c_205>	Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85141
<a_59><b_189><c_44>	Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85146
<a_219><b_89><c_167>	Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness	ICD9CM:85180
<a_59><b_9><c_124>	Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85181
<a_59><b_9><c_100>	Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	ICD9CM:85182
<a_219><b_76><c_205>	Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level	ICD9CM:85185
<a_219><b_227><c_199>	Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85186
<a_219><b_110><c_124>	Other and unspecified cerebral laceration and contusion, with open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85196
<a_219><b_237><c_73>	Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness	ICD9CM:85200
<a_59><b_254><c_150>	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85201
<a_219><b_95><c_205>	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	ICD9CM:85202
<a_219><b_206><c_36>	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level	ICD9CM:85205
<a_219><b_38><c_205>	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85206
<a_219><b_254><c_103>	Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness	ICD9CM:85220
<a_59><b_34><c_205>	Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85221
<a_219><b_89><c_3>	Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	ICD9CM:85222
<a_219><b_254><c_90>	Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85226
<a_219><b_50><c_14>	Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness	ICD9CM:85240
<a_59><b_53><c_48>	Extradural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85241
<a_219><b_110><c_13>	Extradural hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85256
<a_219><b_254><c_57>	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness	ICD9CM:85300
<a_219><b_254><c_173>	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85301
<a_219><b_254><c_147>	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	ICD9CM:85302
<a_219><b_237><c_29>	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level	ICD9CM:85305
<a_219><b_254><c_82>	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration	ICD9CM:85306
<a_219><b_89><c_135>	Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness	ICD9CM:85401
<a_219><b_89><c_35>	Intracranial injury of other and unspecified nature without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	ICD9CM:85402
<a_219><b_237><c_40>	Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level	ICD9CM:85405
<a_139><b_160><c_147>	Traumatic pneumothorax without mention of open wound into thorax	ICD9CM:8600
<a_107><b_50><c_182>	Traumatic hemothorax without mention of open wound into thorax	ICD9CM:8602
<a_107><b_223><c_24>	Traumatic hemothorax with open wound into thorax	ICD9CM:8603
<a_107><b_50><c_85>	Traumatic pneumohemothorax without mention of open wound into thorax	ICD9CM:8604
<a_107><b_223><c_4>	Traumatic pneumohemothorax with open wound into thorax	ICD9CM:8605
<a_139><b_57><c_57>	Unspecified injury of heart without mention of open wound into thorax	ICD9CM:86100
<a_139><b_160><c_137>	Laceration of heart without penetration of heart chambers or without mention of open wound into thorax	ICD9CM:86102
<a_107><b_7><c_75>	Laceration of heart with penetration of heart chambers without mention of open wound into thorax	ICD9CM:86103
<a_139><b_9><c_71>	Unspecified injury of lung without mention of open wound into thorax	ICD9CM:86120
<a_139><b_178><c_65>	Contusion of lung without mention of open wound into thorax	ICD9CM:86121
<a_139><b_160><c_91>	Laceration of lung without mention of open wound into thorax	ICD9CM:86122
<a_139><b_183><c_179>	Contusion of lung with open wound into thorax	ICD9CM:86131
<a_107><b_135><c_153>	Injury to diaphragm, without mention of open wound into cavity	ICD9CM:8620
<a_107><b_140><c_171>	Injury to diaphragm, with open wound into cavity	ICD9CM:8621
<a_107><b_202><c_139>	Injury to esophagus without mention of open wound into cavity	ICD9CM:86222
<a_139><b_170><c_23>	Injury to other specified intrathoracic organs without mention of open wound into cavity	ICD9CM:86229
<a_107><b_73><c_55>	Injury to stomach, without mention of open wound into cavity	ICD9CM:8630
<a_107><b_185><c_248>	Injury to duodenum, without open wound into cavity	ICD9CM:86321
<a_107><b_224><c_110>	Other injury to small intestine, without mention of open wound into cavity	ICD9CM:86329
<a_123><b_34><c_10>	Injury to colon, unspecified site, without mention of open wound into cavity	ICD9CM:86340
<a_107><b_188><c_203>	Injury to transverse colon, without mention of open wound into cavity	ICD9CM:86342
<a_107><b_224><c_63>	Injury to rectum, without mention of open wound into cavity	ICD9CM:86345
<a_107><b_185><c_55>	Injury to other gastrointestinal sites, without mention of open wound into cavity	ICD9CM:86389
<a_123><b_160><c_36>	Injury to pancreas, multiple and unspecified sites, with open wound into cavity	ICD9CM:86394
<a_107><b_135><c_82>	Injury to liver without mention of open wound into cavity, hematoma and contusion	ICD9CM:86401
<a_123><b_135><c_115>	Injury to liver without mention of open wound into cavity, laceration, minor	ICD9CM:86402
<a_123><b_96><c_15>	Injury to liver without mention of open wound into cavity, laceration, moderate	ICD9CM:86403
<a_123><b_57><c_173>	Injury to liver without mention of open wound into cavity laceration, unspecified	ICD9CM:86405
<a_123><b_231><c_55>	Injury to liver with open wound into cavity, laceration, unspecified	ICD9CM:86415
<a_139><b_170><c_29>	Injury to spleen without mention of open wound into cavity, unspecified injury	ICD9CM:86500
<a_107><b_73><c_182>	Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma	ICD9CM:86502
<a_123><b_227><c_10>	Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma	ICD9CM:86503
<a_107><b_20><c_235>	Injury to spleen without mention of open wound into cavity, massive parenchymal disruption	ICD9CM:86504
<a_107><b_202><c_205>	Other injury into spleen without mention of open wound into cavity	ICD9CM:86509
<a_107><b_41><c_41>	Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma	ICD9CM:86512
<a_139><b_2><c_135>	Injury to kidney without mention of open wound into cavity, unspecified injury	ICD9CM:86600
<a_107><b_224><c_55>	Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule	ICD9CM:86601
<a_107><b_224><c_54>	Injury to kidney without mention of open wound into cavity, laceration	ICD9CM:86602
<a_13><b_140><c_31>	Injury to bladder and urethra, without mention of open wound into cavity	ICD9CM:8670
<a_234><b_224><c_41>	Injury to ureter, without mention of open wound into cavity	ICD9CM:8672
<a_123><b_53><c_115>	Injury to other intra-abdominal organs without mention of open wound into cavity, unspecified intra-abdominal organ	ICD9CM:86800
<a_107><b_53><c_101>	Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland	ICD9CM:86801
<a_107><b_243><c_139>	Injury to other intra-abdominal organs without mention of open wound into cavity, bile duct and gallbladder	ICD9CM:86802
<a_123><b_210><c_48>	Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum	ICD9CM:86803
<a_123><b_227><c_198>	Injury to other intra-abdominal organs without mention of open wound into cavity, retroperitoneum	ICD9CM:86804
<a_123><b_227><c_186>	Injury to other and multiple intra-abdominal organs without mention of open wound into cavity	ICD9CM:86809
<a_123><b_31><c_187>	Injury to other intra-abdominal organs with open wound into cavity, peritoneum	ICD9CM:86813
<a_139><b_198><c_199>	Internal injury to unspecified or ill-defined organs without mention of open wound into cavity	ICD9CM:8690
<a_118><b_96><c_151>	Laceration of skin of eyelid and periocular area	ICD9CM:8700
<a_118><b_129><c_237>	Laceration of eyelid, full-thickness, not involving lacrimal passages	ICD9CM:8701
<a_118><b_194><c_139>	Other specified open wounds of ocular adnexa	ICD9CM:8708
<a_144><b_194><c_182>	Open wound of external ear, unspecified site, without mention of complication	ICD9CM:87200
<a_144><b_243><c_235>	Open wound of auricle, ear, without mention of complication	ICD9CM:87201
<a_216><b_254><c_182>	Open wound of ear drum, without mention of complication	ICD9CM:87261
<a_144><b_73><c_55>	Open wound of scalp, without mention of complication	ICD9CM:8730
<a_169><b_202><c_167>	Open wound of scalp, complicated	ICD9CM:8731
<a_144><b_2><c_29>	Open wound of nose, unspecified site, without mention of complication	ICD9CM:87320
<a_144><b_160><c_14>	Open wound of nose, unspecified site, complicated	ICD9CM:87330
<a_144><b_2><c_237>	Open wound of face, unspecified site, without mention of complication	ICD9CM:87340
<a_216><b_53><c_115>	Open wound of cheek, without mention of complication	ICD9CM:87341
<a_144><b_227><c_55>	Open wound of forehead, without mention of complication	ICD9CM:87342
<a_216><b_9><c_34>	Open wound of lip, without mention of complication	ICD9CM:87343
<a_216><b_50><c_156>	Open wound of jaw, without mention of complication	ICD9CM:87344
<a_144><b_202><c_167>	Open wound of other and multiple sites of face, without mention of complication	ICD9CM:87349
<a_169><b_243><c_184>	Open wound of jaw, complicated	ICD9CM:87354
<a_216><b_216><c_14>	Open wound of other and multiple sites of face, complicated	ICD9CM:87359
<a_144><b_243><c_199>	Open wound of mouth, unspecified site, without mention of complication	ICD9CM:87360
<a_216><b_50><c_160>	Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication	ICD9CM:87363
<a_216><b_89><c_157>	Open wound of tongue and floor of mouth, without mention of complication	ICD9CM:87364
<a_216><b_209><c_124>	Open wound of tooth (broken) (fractured) (due to trauma), complicated	ICD9CM:87373
<a_169><b_188><c_235>	Open wound of tongue and floor of mouth, complicated	ICD9CM:87374
<a_144><b_129><c_10>	Other and unspecified open wound of head without mention of complication	ICD9CM:8738
<a_216><b_170><c_107>	Open wound of trachea, without mention of complication	ICD9CM:87402
<a_169><b_32><c_235>	Open wound of trachea, complicated	ICD9CM:87412
<a_216><b_198><c_199>	Open wound of thyroid gland, without mention of complication	ICD9CM:8742
<a_216><b_32><c_199>	Open wound of pharynx, without mention of complication	ICD9CM:8744
<a_144><b_202><c_139>	Open wound of other and unspecified parts of neck, without mention of complication	ICD9CM:8748
<a_216><b_32><c_156>	Open wound of chest (wall), without mention of complication	ICD9CM:8750
<a_216><b_198><c_36>	Open wound of scrotum and testes, without mention of complication	ICD9CM:8782
<a_123><b_251><c_75>	Open wound of abdominal wall, lateral, complicated	ICD9CM:8795
<a_144><b_32><c_41>	Open wound of other and unspecified parts of trunk, without mention of complication	ICD9CM:8796
<a_216><b_32><c_187>	Open wound of other and unspecified parts of trunk, complicated	ICD9CM:8797
<a_144><b_198><c_199>	Open wound(s) (multiple) of unspecified site(s), without mention of complication	ICD9CM:8798
<a_216><b_96><c_91>	Open wound of upper arm, without mention of complication	ICD9CM:88003
<a_169><b_96><c_29>	Open wound of upper arm, with tendon involvement	ICD9CM:88023
<a_216><b_96><c_15>	Open wound of forearm, without mention of complication	ICD9CM:88100
<a_216><b_96><c_39>	Open wound of elbow, without mention of complication	ICD9CM:88101
<a_216><b_210><c_40>	Open wound of wrist, without mention of complication	ICD9CM:88102
<a_169><b_210><c_156>	Open wound of forearm, complicated	ICD9CM:88110
<a_169><b_96><c_153>	Open wound of forearm, with tendon involvement	ICD9CM:88120
<a_169><b_227><c_40>	Open wound of wrist, with tendon involvement	ICD9CM:88122
<a_216><b_73><c_170>	Open wound of hand except finger(s) alone, without mention of complication	ICD9CM:8820
<a_169><b_160><c_34>	Open wound of hand except finger(s) alone, complicated	ICD9CM:8821
<a_169><b_50><c_101>	Open wound of hand except finger(s) alone, with tendon involvement	ICD9CM:8822
<a_169><b_160><c_3>	Open wound of finger(s), complicated	ICD9CM:8831
<a_169><b_2><c_199>	Open wound of finger(s), with tendon involvement	ICD9CM:8832
<a_144><b_96><c_182>	Multiple and unspecified open wound of upper limb, without mention of complication	ICD9CM:8840
<a_118><b_160><c_185>	Traumatic amputation of other finger(s) (complete) (partial), without mention of complication	ICD9CM:8860
<a_118><b_162><c_39>	Traumatic amputation of arm and hand (complete) (partial), unilateral, below elbow, without mention of complication	ICD9CM:8870
<a_118><b_162><c_73>	Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, without mention of complication	ICD9CM:8872
<a_118><b_233><c_89>	Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, complicated	ICD9CM:8875
<a_169><b_96><c_110>	Open wound of hip and thigh, complicated	ICD9CM:8901
<a_216><b_96><c_153>	Open wound of knee, leg [except thigh], and ankle, without mention of complication	ICD9CM:8910
<a_169><b_41><c_200>	Open wound of knee, leg [except thigh], and ankle, complicated	ICD9CM:8911
<a_169><b_96><c_246>	Open wound of knee, leg [except thigh], and ankle, with tendon involvement	ICD9CM:8912
<a_216><b_73><c_10>	Open wound of foot except toe(s) alone, without mention of complication	ICD9CM:8920
<a_169><b_73><c_182>	Open wound of foot except toe(s) alone, complicated	ICD9CM:8921
<a_216><b_50><c_139>	Open wound of toe(s), without mention of complication	ICD9CM:8930
<a_144><b_96><c_10>	Multiple and unspecified open wound of lower limb, without mention of complication	ICD9CM:8940
<a_85><b_26><c_11>	Injury to external carotid artery	ICD9CM:90002
<a_85><b_239><c_168>	Injury to internal carotid artery	ICD9CM:90003
<a_85><b_68><c_209>	Injury to internal jugular vein	ICD9CM:9001
<a_85><b_184><c_40>	Injury to multiple blood vessels of head and neck	ICD9CM:90082
<a_155><b_198><c_75>	Injury to other specified blood vessels of head and neck	ICD9CM:90089
<a_21><b_150><c_179>	Injury to thoracic aorta	ICD9CM:9010
<a_21><b_205><c_166>	Injury to intercostal artery or vein	ICD9CM:90181
<a_139><b_70><c_153>	Injury to unspecified blood vessel of thorax	ICD9CM:9019
<a_21><b_215><c_74>	Injury to splenic artery	ICD9CM:90223
<a_93><b_232><c_193>	Injury to primary branches of superior mesenteric artery	ICD9CM:90226
<a_21><b_80><c_121>	Injury to renal artery	ICD9CM:90241
<a_85><b_225><c_137>	Injury to other specified blood vessels of abdomen and pelvis	ICD9CM:90289
<a_85><b_40><c_6>	Injury to axillary artery	ICD9CM:90301
<a_85><b_40><c_23>	Injury to brachial blood vessels	ICD9CM:9031
<a_85><b_135><c_237>	Injury to radial blood vessels	ICD9CM:9032
<a_85><b_64><c_1>	Injury to ulnar blood vessels	ICD9CM:9033
<a_85><b_135><c_248>	Injury to palmar artery	ICD9CM:9034
<a_85><b_135><c_29>	Injury to digital blood vessels	ICD9CM:9035
<a_85><b_141><c_190>	Injury to common femoral artery	ICD9CM:9040
<a_95><b_101><c_124>	Injury to popliteal artery	ICD9CM:90441
<a_95><b_177><c_214>	Injury to popliteal vein	ICD9CM:90442
<a_93><b_103><c_108>	Injury to other specified blood vessels of lower extremity	ICD9CM:9047
<a_153><b_173><c_110>	Late effect of fracture of skull and face bones	ICD9CM:9050
<a_117><b_66><c_153>	Late effect of fracture of spine and trunk without mention of spinal cord lesion	ICD9CM:9051
<a_77><b_190><c_165>	Late effect of fracture of neck of femur	ICD9CM:9053
<a_77><b_113><c_65>	Late effect of fracture of lower extremities	ICD9CM:9054
<a_77><b_221><c_40>	Late effect of dislocation	ICD9CM:9056
<a_85><b_254><c_132>	Late effect of open wound of head, neck, and trunk	ICD9CM:9060
<a_153><b_90><c_220>	Late effect of crushing	ICD9CM:9064
<a_153><b_122><c_89>	Late effect of burn of other extremities	ICD9CM:9067
<a_59><b_95><c_202>	Late effect of intracranial injury without mention of skull fracture	ICD9CM:9070
<a_153><b_187><c_247>	Late effect of spinal cord injury	ICD9CM:9072
<a_170><b_140><c_40>	Late effect of injury to peripheral nerve of shoulder girdle and upper limb	ICD9CM:9074
<a_153><b_25><c_220>	Late effect of internal injury to chest	ICD9CM:9080
<a_95><b_101><c_223>	Late effect of injury to blood vessel of head, neck, and extremities	ICD9CM:9083
<a_153><b_152><c_184>	Late effect of certain complications of trauma	ICD9CM:9086
<a_185><b_19><c_128>	Late effect of unspecified injury	ICD9CM:9089
<a_131><b_80><c_48>	Late effect of poisoning due to drug, medicinal or biological substance	ICD9CM:9090
<a_3><b_64><c_220>	Late effect of radiation	ICD9CM:9092
<a_224><b_51><c_179>	Late effect of complications of surgical and medical care	ICD9CM:9093
<a_132><b_51><c_115>	Late effect of adverse effect of drug, medicinal or biological substance	ICD9CM:9095
<a_185><b_18><c_179>	Late effect of other and unspecified external causes	ICD9CM:9099
<a_118><b_254><c_202>	Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection	ICD9CM:9100
<a_188><b_9><c_36>	Insect bite, nonvenomous of face, neck, and scalp except eye, without mention of infection	ICD9CM:9104
<a_188><b_2><c_135>	Abrasion or friction burn of trunk, without mention of infection	ICD9CM:9110
<a_188><b_110><c_235>	Blister of trunk, without mention of infection	ICD9CM:9112
<a_188><b_110><c_13>	Abrasion or friction burn of shoulder and upper arm, without mention of infection	ICD9CM:9120
<a_188><b_70><c_14>	Blister of shoulder and upper arm, without mention of infection	ICD9CM:9122
<a_188><b_178><c_12>	Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection	ICD9CM:9130
<a_188><b_76><c_12>	Blister of hand(s) except finger(s) alone, without mention of infection	ICD9CM:9142
<a_188><b_50><c_14>	Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection	ICD9CM:9160
<a_188><b_70><c_2>	Blister of hip, thigh, leg, and ankle, without mention of infection	ICD9CM:9162
<a_188><b_254><c_34>	Insect bite, nonvenomous, of hip, thigh, leg, and ankle, without mention of infection	ICD9CM:9164
<a_188><b_227><c_82>	Blister of foot and toe(s), without mention of infection	ICD9CM:9172
<a_188><b_7><c_34>	Superficial injury of cornea	ICD9CM:9181
<a_118><b_254><c_23>	Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection	ICD9CM:9190
<a_118><b_129><c_143>	Other and unspecified superficial injury of other, multiple, and unspecified sites, without mention of infection	ICD9CM:9198
<a_155><b_1><c_135>	Contusion of face, scalp, and neck except eye(s)	ICD9CM:920
<a_155><b_9><c_233>	Black eye, not otherwise specified	ICD9CM:9210
<a_155><b_50><c_2>	Contusion of eyelids and periocular area	ICD9CM:9211
<a_155><b_50><c_151>	Contusion of orbital tissues	ICD9CM:9212
<a_155><b_50><c_45>	Contusion of eyeball	ICD9CM:9213
<a_155><b_89><c_42>	Contusion of breast	ICD9CM:9220
<a_155><b_194><c_80>	Contusion of chest wall	ICD9CM:9221
<a_119><b_66><c_75>	Contusion of abdominal wall	ICD9CM:9222
<a_155><b_206><c_115>	Contusion of back	ICD9CM:92231
<a_208><b_39><c_6>	Contusion of buttock	ICD9CM:92232
<a_155><b_189><c_151>	Contusion of multiple sites of trunk	ICD9CM:9228
<a_208><b_174><c_250>	Contusion of upper arm	ICD9CM:92303
<a_155><b_185><c_160>	Contusion of forearm	ICD9CM:92310
<a_155><b_89><c_167>	Contusion of hand(s)	ICD9CM:92320
<a_208><b_174><c_218>	Contusion of thigh	ICD9CM:92400
<a_155><b_227><c_44>	Contusion of hip	ICD9CM:92401
<a_208><b_174><c_191>	Contusion of lower leg	ICD9CM:92410
<a_155><b_227><c_205>	Contusion of knee	ICD9CM:92411
<a_155><b_89><c_10>	Contusion of foot	ICD9CM:92420
<a_208><b_174><c_151>	Contusion of ankle	ICD9CM:92421
<a_208><b_2><c_211>	Contusion of unspecified part of lower limb	ICD9CM:9245
<a_155><b_129><c_237>	Contusion of multiple sites, not elsewhere classified	ICD9CM:9248
<a_155><b_39><c_193>	Crushing injury of other specified sites of trunk	ICD9CM:92619
<a_117><b_73><c_147>	Crushing injury of forearm	ICD9CM:92710
<a_117><b_112><c_235>	Crushing injury of hand(s)	ICD9CM:92720
<a_166><b_32><c_181>	Foreign body in nose	ICD9CM:932
<a_99><b_40><c_44>	Foreign body in larynx	ICD9CM:9331
<a_99><b_14><c_139>	Foreign body in trachea	ICD9CM:9340
<a_99><b_193><c_48>	Foreign body in main bronchus	ICD9CM:9341
<a_134><b_192><c_186>	Foreign body in other specified parts bronchus and lung	ICD9CM:9348
<a_134><b_65><c_14>	Foreign body in respiratory tree, unspecified	ICD9CM:9349
<a_99><b_75><c_11>	Foreign body in esophagus	ICD9CM:9351
<a_99><b_90><c_233>	Foreign body in stomach	ICD9CM:9352
<a_212><b_81><c_11>	Foreign body in intestine and colon	ICD9CM:936
<a_65><b_41><c_80>	Foreign body in digestive system, unspecified	ICD9CM:938
<a_234><b_85><c_203>	Foreign body in bladder and urethra	ICD9CM:9390
<a_188><b_178><c_1>	Blisters, epidermal loss [second degree] of forehead and cheek	ICD9CM:94127
<a_188><b_53><c_73>	Burn of unspecified degree of back [any part]	ICD9CM:94204
<a_188><b_9><c_38>	Burn of unspecified degree of other and multiple sites of trunk	ICD9CM:94209
<a_188><b_76><c_3>	Erythema [first degree] of back [any part]	ICD9CM:94214
<a_188><b_9><c_233>	Blisters, epidermal loss [second degree] of upper limb, unspecified site	ICD9CM:94320
<a_188><b_227><c_193>	Blisters, epidermal loss [second degree] of shoulder	ICD9CM:94325
<a_188><b_76><c_190>	Blisters, epidermal loss [second degree] of single digit [finger (nail)] other than thumb	ICD9CM:94421
<a_188><b_76><c_61>	Blisters, epidermal loss [second degree] of two or more digits of hand, not including thumb	ICD9CM:94423
<a_188><b_227><c_230>	Blisters, epidermal loss [second degree] of palm	ICD9CM:94425
<a_188><b_96><c_199>	Erythema [first degree] of multiple sites of lower limb(s)	ICD9CM:94519
<a_188><b_227><c_29>	Blisters, epidermal loss [second degree] of foot	ICD9CM:94522
<a_188><b_89><c_229>	Full-thickness skin loss [third degree NOS] of foot	ICD9CM:94532
<a_188><b_185><c_229>	Full-thickness skin loss [third degree NOS] of thigh [any part]	ICD9CM:94536
<a_188><b_53><c_90>	Burn [any degree] involving less than 10 percent of body surface with third degree burn, less than 10 percent or unspecified	ICD9CM:94800
<a_188><b_53><c_173>	Burn [any degree] involving 50-59 percent of body surface with third degree burn, less than 10 percent or unspecified	ICD9CM:94850
<a_198><b_129><c_114>	Injury to unspecified optic nerve and pathways	ICD9CM:9509
<a_27><b_191><c_21>	Injury to oculomotor nerve	ICD9CM:9510
<a_27><b_19><c_139>	Injury to facial nerve	ICD9CM:9514
