<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_38><b_146><c_4>	Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	ICD9CM:E8792
<a_38><b_235><c_0>	Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	ICD9CM:E8794
<a_92><b_75><c_6>	Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	ICD9CM:E8796
<a_38><b_201><c_76>	Blood sampling as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	ICD9CM:E8797
<a_38><b_213><c_64>	Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	ICD9CM:E8798
<a_38><b_213><c_84>	Unspecified procedure as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	ICD9CM:E8799
<a_162><b_219><c_161>	Accidental fall on or from escalator	ICD9CM:E8800
<a_162><b_184><c_69>	Accidental fall on or from sidewalk curb	ICD9CM:E8801
<a_162><b_219><c_99>	Accidental fall on or from other stairs or steps	ICD9CM:E8809
<a_162><b_24><c_88>	Accidental fall from ladder	ICD9CM:E8810
<a_162><b_57><c_229>	Accidental fall from or out of building or other structure	ICD9CM:E882
<a_240><b_22><c_204>	Accident from diving or jumping into water [swimming pool]	ICD9CM:E8830
<a_162><b_219><c_181>	Accidental fall from chair	ICD9CM:E8842
<a_162><b_219><c_62>	Accidental fall from wheelchair	ICD9CM:E8843
<a_162><b_155><c_172>	Accidental fall from bed	ICD9CM:E8844
<a_162><b_24><c_161>	Accidental fall from other furniture	ICD9CM:E8845
<a_162><b_219><c_120>	Accidental fall from commode	ICD9CM:E8846
<a_162><b_184><c_134>	Other accidental fall from one level to another	ICD9CM:E8849
<a_162><b_125><c_56>	Fall from (nonmotorized) scooter	ICD9CM:E8850
<a_162><b_184><c_23>	Fall from other slipping, tripping, or stumbling	ICD9CM:E8859
<a_219><b_235><c_220>	Fracture, cause unspecified	ICD9CM:E887
<a_162><b_179><c_85>	Fall resulting in striking against sharp object	ICD9CM:E8880
<a_162><b_179><c_124>	Fall resulting in striking against other object	ICD9CM:E8881
<a_162><b_207><c_250>	Other fall	ICD9CM:E8888
<a_162><b_64><c_75>	Unspecified fall	ICD9CM:E8889
<a_240><b_24><c_205>	Accident caused by unspecified fire	ICD9CM:E899
<a_240><b_93><c_132>	Accident due to excessive cold due to weather conditions	ICD9CM:E9010
<a_240><b_93><c_99>	Accident due to excessive cold of other specified origin	ICD9CM:E9018
<a_240><b_243><c_25>	Dog bite	ICD9CM:E9060
<a_240><b_243><c_22>	Bite of other animal except arthropod	ICD9CM:E9063
<a_240><b_243><c_250>	Bite of nonvenomous arthropod	ICD9CM:E9064
<a_240><b_243><c_59>	Other specified injury caused by animal	ICD9CM:E9068
<a_132><b_24><c_132>	Accidental drowning and submersion while engaged in other sport or recreational activity without diving equipment	ICD9CM:E9102
<a_131><b_194><c_1>	Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation	ICD9CM:E911
<a_131><b_194><c_82>	Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation	ICD9CM:E912
<a_74><b_138><c_72>	Foreign body accidentally entering other orifice	ICD9CM:E915
<a_162><b_213><c_132>	Struck accidentally by falling object	ICD9CM:E916
<a_162><b_179><c_185>	Striking against or struck accidentally by furniture without subsequent fall	ICD9CM:E9173
<a_162><b_118><c_100>	Striking against or struck accidentally by other stationary object without subsequent fall	ICD9CM:E9174
<a_162><b_143><c_229>	Other accident caused by striking against or being struck accidentally by objects or persons	ICD9CM:E9179
<a_74><b_24><c_250>	Caught accidentally in or between objects	ICD9CM:E918
<a_240><b_202><c_57>	Accidents caused by woodworking and forming machines	ICD9CM:E9194
<a_74><b_81><c_20>	Accidents caused by other powered hand tools	ICD9CM:E9201
<a_74><b_3><c_181>	Accidents caused by other hand tools and implements	ICD9CM:E9204
<a_74><b_3><c_68>	Accidents caused by hypodermic needle	ICD9CM:E9205
<a_74><b_184><c_69>	Accidents caused by other specified cutting and piercing instruments or objects	ICD9CM:E9208
<a_74><b_3><c_200>	Accidents caused by unspecified cutting and piercing instrument or object	ICD9CM:E9209
<a_240><b_24><c_25>	Accident caused by explosion of gas cylinders	ICD9CM:E9211
<a_74><b_42><c_120>	Accident caused by handgun	ICD9CM:E9220
<a_74><b_125><c_158>	Accident caused by hunting rifle	ICD9CM:E9222
<a_74><b_42><c_229>	Accident caused by unspecified firearm missile	ICD9CM:E9229
<a_240><b_24><c_172>	Accident caused by caustic and corrosive substances	ICD9CM:E9241
<a_240><b_200><c_116>	Accident caused by hot (boiling) tap water	ICD9CM:E9242
<a_240><b_24><c_231>	Accident caused by other hot substance or object	ICD9CM:E9248
<a_132><b_93><c_82>	Overexertion and strenuous and repetitive movements or loads	ICD9CM:E927
<a_132><b_93><c_41>	Other overexertion and strenuous and repetitive movements or loads	ICD9CM:E9278
<a_240><b_243><c_153>	Human bite	ICD9CM:E9283
<a_240><b_29><c_85>	Other accidents	ICD9CM:E9288
<a_240><b_29><c_194>	Unspecified accident	ICD9CM:E9289
<a_151><b_22><c_180>	Late effects of motor vehicle accident	ICD9CM:E9290
<a_151><b_125><c_172>	Late effects of other transport accident	ICD9CM:E9291
<a_43><b_37><c_55>	Late effects of accidental poisoning	ICD9CM:E9292
<a_151><b_24><c_25>	Late effects of accidental fall	ICD9CM:E9293
<a_151><b_236><c_193>	Late effects of other accidents	ICD9CM:E9298
<a_151><b_249><c_22>	Late effects of unspecified accident	ICD9CM:E9299
<a_194><b_249><c_111>	Penicillins causing adverse effects in therapeutic use	ICD9CM:E9300
<a_194><b_178><c_74>	Antifungal antibiotics causing adverse effects in therapeutic use	ICD9CM:E9301
<a_194><b_79><c_44>	Erythromycin and other macrolides causing adverse effects in therapeutic use	ICD9CM:E9303
<a_194><b_64><c_3>	Tetracycline group causing adverse effects in therapeutic use	ICD9CM:E9304
<a_194><b_249><c_249>	Cephalosporin group causing adverse effects in therapeutic use	ICD9CM:E9305
<a_194><b_179><c_255>	Antimycobacterial antibiotics causing adverse effects in therapeutic use	ICD9CM:E9306
<a_194><b_118><c_100>	Antineoplastic antibiotics causing adverse effects in therapeutic use	ICD9CM:E9307
<a_194><b_161><c_47>	Other specified antibiotics causing adverse effects in therapeutic use	ICD9CM:E9308
<a_194><b_29><c_64>	Unspecified antibiotic causing adverse effects in therapeutic use	ICD9CM:E9309
<a_194><b_64><c_0>	Sulfonamides causing adverse effects in therapeutic use	ICD9CM:E9310
<a_194><b_64><c_145>	Quinoline and hydroxyquinoline derivatives causing adverse effects in therapeutic use	ICD9CM:E9313
<a_194><b_148><c_75>	Other antiprotozoal drugs causing adverse effects in therapeutic use	ICD9CM:E9315
<a_194><b_64><c_16>	Antiviral drugs causing adverse effects in therapeutic use	ICD9CM:E9317
<a_194><b_42><c_47>	Other and unspecified anti-infectives causing adverse effects in therapeutic use	ICD9CM:E9319
<a_18><b_81><c_76>	Adrenal cortical steroids causing adverse effects in therapeutic use	ICD9CM:E9320
<a_18><b_177><c_84>	Insulins and antidiabetic agents causing adverse effects in therapeutic use	ICD9CM:E9323
<a_194><b_24><c_85>	Antiallergic and antiemetic drugs causing adverse effects in therapeutic use	ICD9CM:E9330
<a_194><b_22><c_130>	Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use	ICD9CM:E9331
<a_18><b_122><c_141>	Anticoagulants causing adverse effects in therapeutic use	ICD9CM:E9342
<a_18><b_128><c_14>	Vitamin k [phytonadione] causing adverse effects in therapeutic use	ICD9CM:E9343
<a_18><b_189><c_100>	Fibrinolysis-affecting drugs causing adverse effects in therapeutic use	ICD9CM:E9344
<a_18><b_128><c_238>	Gamma globulin causing adverse effects in therapeutic use	ICD9CM:E9346
<a_18><b_189><c_47>	Natural blood and blood products causing adverse effects in therapeutic use	ICD9CM:E9347
<a_18><b_189><c_75>	Other agents affecting blood constituents causing adverse effects in therapeutic use	ICD9CM:E9348
<a_159><b_169><c_75>	Methadone causing averse effects in therapeutic use	ICD9CM:E9351
<a_159><b_22><c_108>	Other opiates and related narcotics causing adverse effects in therapeutic use	ICD9CM:E9352
<a_57><b_178><c_23>	Salicylates causing adverse effects in therapeutic use	ICD9CM:E9353
<a_57><b_185><c_22>	Aromatic analgesics, not elsewhere classified, causing adverse effects in therapeutic use	ICD9CM:E9354
<a_57><b_29><c_69>	Antirheumatics [antiphlogistics] causing adverse effects in therapeutic use	ICD9CM:E9356
<a_57><b_58><c_186>	Other non-narcotic analgesics causing adverse effects in therapeutic use	ICD9CM:E9357
<a_57><b_93><c_177>	Other specified analgesics and antipyretics causing adverse effects in therapeutic use	ICD9CM:E9358
<a_57><b_93><c_120>	Unspecified analgesic and antipyretic causing adverse effects in therapeutic use	ICD9CM:E9359
<a_164><b_125><c_177>	Oxazolidine derivatives causing adverse effects in therapeutic use	ICD9CM:E9360
<a_164><b_156><c_158>	Hydantoin derivatives causing adverse effects in therapeutic use	ICD9CM:E9361
<a_164><b_81><c_213>	Other and unspecified anticonvulsants causing adverse effects in therapeutic use	ICD9CM:E9363
<a_164><b_156><c_24>	Anti-parkinsonism drugs causing adverse effects in therapeutic use	ICD9CM:E9364
<a_159><b_142><c_132>	Barbiturates causing adverse effects in therapeutic use	ICD9CM:E9370
<a_159><b_93><c_212>	Other sedatives and hypnotics causing adverse effects in therapeutic use	ICD9CM:E9378
<a_159><b_142><c_177>	Unspecified sedatives and hypnotics causing adverse effects in therapeutic use	ICD9CM:E9379
<a_159><b_175><c_1>	Other gaseous anesthetics causing adverse effects in therapeutic use	ICD9CM:E9382
<a_159><b_175><c_16>	Intravenous anesthetics causing adverse effects in therapeutic use	ICD9CM:E9383
<a_159><b_175><c_238>	Other and unspecified general anesthetics causing adverse effects in therapeutic use	ICD9CM:E9384
<a_159><b_175><c_20>	Surface and infiltration anesthetics causing adverse effects in therapeutic use	ICD9CM:E9385
<a_164><b_41><c_209>	Peripheral nerve- and plexus-blocking anesthetics causing adverse effects in therapeutic use	ICD9CM:E9386
<a_159><b_143><c_167>	Spinal anesthetics causing adverse effects in therapeutic use	ICD9CM:E9387
<a_159><b_185><c_16>	Antidepressants causing adverse effects in therapeutic use	ICD9CM:E9390
<a_159><b_41><c_1>	Phenothiazine-based tranquilizers causing adverse effects in therapeutic use	ICD9CM:E9391
<a_159><b_226><c_0>	Butyrophenone-based tranquilizers causing adverse effects in therapeutic use	ICD9CM:E9392
<a_159><b_41><c_16>	Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use	ICD9CM:E9393
<a_159><b_248><c_212>	Benzodiazepine-based tranquilizers causing adverse effects in therapeutic use	ICD9CM:E9394
<a_159><b_185><c_14>	Psychostimulants causing adverse effects in therapeutic use	ICD9CM:E9397
<a_159><b_185><c_77>	Other psychotropic agents causing adverse effects in therapeutic use	ICD9CM:E9398
<a_159><b_41><c_212>	Unspecified psychotropic agent causing adverse effects in therapeutic use	ICD9CM:E9399
<a_164><b_4><c_69>	Parasympathomimetics [cholinergics] causing adverse effects in therapeutic use	ICD9CM:E9410
<a_164><b_142><c_120>	Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use	ICD9CM:E9411
<a_164><b_207><c_44>	Sympathomimetics [adrenergics] causing adverse effects in therapeutic use	ICD9CM:E9412
<a_164><b_207><c_153>	Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use	ICD9CM:E9413
<a_18><b_138><c_156>	Cardiac rhythm regulators causing adverse effects in therapeutic use	ICD9CM:E9420
<a_18><b_253><c_74>	Cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use	ICD9CM:E9421
<a_18><b_29><c_250>	Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use	ICD9CM:E9422
<a_18><b_138><c_83>	Coronary vasodilators causing adverse effects in therapeutic use	ICD9CM:E9424
<a_18><b_253><c_153>	Other vasodilators causing adverse effects in therapeutic use	ICD9CM:E9425
<a_18><b_207><c_205>	Other antihypertensive agents causing adverse effects in therapeutic use	ICD9CM:E9426
<a_18><b_146><c_14>	Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use	ICD9CM:E9429
<a_57><b_135><c_20>	Antacids and antigastric secretion drugs causing adverse effects in therapeutic use	ICD9CM:E9430
<a_164><b_179><c_64>	Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use	ICD9CM:E9433
<a_194><b_253><c_85>	Other specified agents primarily affecting the gastro-intestinal system causing adverse effects in therapeutic use	ICD9CM:E9438
<a_18><b_81><c_1>	Purine derivative diuretics causing adverse effects in therapeutic use	ICD9CM:E9441
<a_18><b_81><c_184>	Saluretics causing adverse effects in therapeutic use	ICD9CM:E9443
<a_18><b_81><c_156>	Other diuretics causing adverse effects in therapeutic use	ICD9CM:E9444
<a_18><b_106><c_218>	Uric acid metabolism drugs causing adverse effects in therapeutic use	ICD9CM:E9447
<a_164><b_249><c_144>	Smooth muscle relaxants causing adverse effects in therapeutic use	ICD9CM:E9451
<a_164><b_174><c_194>	Skeletal muscle relaxants causing adverse effects in therapeutic use	ICD9CM:E9452
<a_164><b_178><c_51>	Expectorants causing adverse effects in therapeutic use	ICD9CM:E9455
<a_164><b_4><c_88>	Antiasthmatics causing adverse effects in therapeutic use	ICD9CM:E9457
<a_194><b_174><c_11>	Local anti-infectives and anti-inflammatory drugs causing adverse effects in therapeutic use	ICD9CM:E9460
<a_164><b_128><c_144>	Emollients, demulcents, and protectants causing adverse effects in therapeutic use	ICD9CM:E9463
<a_57><b_162><c_114>	Dietetics causing adverse effects in therapeutic use	ICD9CM:E9470
<a_194><b_3><c_14>	Other drugs and medicinal substances causing adverse effects in therapeutic use	ICD9CM:E9478
<a_194><b_156><c_158>	Unspecified drug or medicinal substance causing adverse effects in therapeutic use	ICD9CM:E9479
<a_102><b_203><c_1>	Suicide and self-inflicted poisoning by analgesics, antipyretics, and antirheumatics	ICD9CM:E9500
<a_27><b_240><c_8>	Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents	ICD9CM:E9503
<a_102><b_203><c_4>	Suicide and self-inflicted poisoning by other specified drugs and medicinal substances	ICD9CM:E9504
<a_102><b_203><c_83>	Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers	ICD9CM:E9506
<a_102><b_203><c_219>	Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances	ICD9CM:E9509
<a_120><b_253><c_56>	Suicide and self-inflicted injury by hanging	ICD9CM:E9530
<a_120><b_239><c_72>	Suicide and self-inflicted injury by handgun	ICD9CM:E9550
<a_120><b_253><c_76>	Suicide and self-inflicted injury by cutting and piercing instrument	ICD9CM:E956
<a_120><b_24><c_219>	Suicide and self-inflicted injuries by jumping from other man-made structures	ICD9CM:E9571
<a_120><b_24><c_190>	Suicide and self-inflicted injury by other specified means	ICD9CM:E9588
<a_120><b_155><c_181>	Suicide and self-inflicted injury by unspecified means	ICD9CM:E9589
<a_120><b_29><c_177>	Late effects of self-inflicted injury	ICD9CM:E959
<a_120><b_40><c_44>	Unarmed fight or brawl	ICD9CM:E9600
<a_74><b_162><c_4>	Assault by handgun	ICD9CM:E9650
<a_74><b_162><c_1>	Assault by other and unspecified firearm	ICD9CM:E9654
<a_74><b_162><c_132>	Assault by cutting and piercing instrument	ICD9CM:E966
<a_102><b_66><c_245>	Perpetrator of child and adult abuse, by father, stepfather, or boyfriend	ICD9CM:E9670
<a_102><b_70><c_106>	Perpetrator of child and adult abuse, by child	ICD9CM:E9674
<a_102><b_22><c_233>	Perpetrator of child and adult abuse, by non-related caregiver	ICD9CM:E9678
<a_120><b_40><c_72>	Assault by striking by blunt or thrown object	ICD9CM:E9682
<a_120><b_24><c_229>	Assault by other specified means	ICD9CM:E9688
<a_120><b_24><c_209>	Assault by unspecified means	ICD9CM:E9689
<a_120><b_29><c_27>	Late effects of injury purposely inflicted by other person	ICD9CM:E969
<a_120><b_118><c_176>	Late effects of injuries due to legal intervention	ICD9CM:E977
<a_27><b_66><c_55>	Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted	ICD9CM:E9800
<a_27><b_248><c_241>	Poisoning by tranquilizers and other psychotropic agents, undetermined whether accidentally or purposely inflicted	ICD9CM:E9803
<a_137><b_193><c_87>	Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted	ICD9CM:E9804
<a_120><b_22><c_116>	Late effects of injury, undetermined whether accidentally or purposely inflicted	ICD9CM:E989
<a_120><b_143><c_181>	Late effect of injury due to terrorism	ICD9CM:E9991
<a_44><b_42><c_57>	Contact with or exposure to tuberculosis	ICD9CM:V011
<a_44><b_199><c_111>	Contact with or exposure to venereal diseases	ICD9CM:V016
<a_44><b_199><c_57>	Contact with or exposure to other viral diseases	ICD9CM:V017
<a_44><b_199><c_77>	Contact with or exposure to other viral diseases	ICD9CM:V0179
<a_44><b_199><c_145>	Contact with or exposure to other communicable diseases	ICD9CM:V0189
<a_44><b_207><c_232>	Carrier or suspected carrier of cholera	ICD9CM:V020
<a_44><b_4><c_200>	Carrier or suspected carrier of other gastrointestinal pathogens	ICD9CM:V023
<a_44><b_226><c_234>	Carrier or suspected carrier of diphtheria	ICD9CM:V024
<a_44><b_60><c_6>	Carrier or suspected carrier of group B streptococcus	ICD9CM:V0251
<a_44><b_226><c_16>	Carrier or suspected carrier of other streptococcus	ICD9CM:V0252
<a_44><b_14><c_77>	Carrier or suspected carrier of Methicillin susceptible Staphylococcus aureus	ICD9CM:V0253
<a_44><b_14><c_113>	Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus	ICD9CM:V0254
<a_44><b_226><c_1>	Carrier or suspected carrier of other specified bacterial diseases	ICD9CM:V0259
<a_44><b_146><c_164>	Hepatitis B carrier	ICD9CM:V0261
<a_44><b_146><c_87>	Hepatitis C carrier	ICD9CM:V0262
<a_44><b_226><c_68>	Carrier or suspected carrier of other specified infectious organism	ICD9CM:V029
<a_81><b_249><c_20>	Other specified vaccinations against streptococcus pneumoniae [pneumococcus]	ICD9CM:V0382
<a_81><b_139><c_208>	Need for prophylactic vaccination and inoculation against influenza	ICD9CM:V0481
<a_81><b_139><c_41>	Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV)	ICD9CM:V0482
<a_81><b_234><c_152>	Need for prophylactic vaccination and inoculation against viral hepatitis	ICD9CM:V053
<a_81><b_139><c_16>	Need for prophylactic vaccination and inoculation against other specified disease	ICD9CM:V058
<a_81><b_213><c_104>	Need for prophylactic vaccination and inoculation against streptococcus pneumoniae [pneumococcus] and influenza	ICD9CM:V066
<a_81><b_253><c_22>	Need for desensitization to allergens	ICD9CM:V071
<a_81><b_146><c_118>	Asymptomatic human immunodeficiency virus [HIV] infection status	ICD9CM:V08
<a_81><b_14><c_16>	Infection with microorganisms resistant to penicillins	ICD9CM:V090
<a_81><b_14><c_77>	Infection with microorganisms resistant to cephalosporins and other B-lactam antibiotics	ICD9CM:V091
<a_81><b_14><c_240>	Infection with microorganisms without mention of resistance to multiple quinolones and fluroquinolones	ICD9CM:V0950
<a_81><b_104><c_129>	Infection with microorganisms without mention of resistance to multiple drugs	ICD9CM:V0980
<a_81><b_14><c_231>	Infection with microorganisms with resistance to multiple drugs	ICD9CM:V0981
<a_81><b_14><c_28>	Infection with drug-resistant microorganisms, unspecified, with multiple drug resistance	ICD9CM:V0991
<a_125><b_221><c_88>	Personal history of malignant neoplasm of gastrointestinal tract, unspecified	ICD9CM:V1000
<a_42><b_200><c_252>	Personal history of malignant neoplasm of tongue	ICD9CM:V1001
<a_42><b_196><c_18>	Personal history of malignant neoplasm of other and unspecified oral cavity and pharynx	ICD9CM:V1002
<a_42><b_73><c_55>	Personal history of malignant neoplasm of esophagus	ICD9CM:V1003
<a_125><b_3><c_32>	Personal history of malignant neoplasm of stomach	ICD9CM:V1004
<a_125><b_221><c_148>	Personal history of malignant neoplasm of large intestine	ICD9CM:V1005
<a_125><b_31><c_219>	Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus	ICD9CM:V1006
<a_125><b_100><c_46>	Personal history of malignant neoplasm of liver	ICD9CM:V1007
<a_125><b_142><c_73>	Personal history of malignant neoplasm of other gastrointestinal tract	ICD9CM:V1009
<a_42><b_102><c_105>	Personal history of malignant neoplasm of bronchus and lung	ICD9CM:V1011
<a_42><b_102><c_46>	Personal history of malignant neoplasm of trachea	ICD9CM:V1012
<a_42><b_73><c_91>	Personal history of malignant neoplasm of larynx	ICD9CM:V1021
<a_42><b_2><c_115>	Personal history of malignant neoplasm of other respiratory and intrathoracic organs	ICD9CM:V1029
<a_42><b_208><c_161>	Personal history of malignant neoplasm of breast	ICD9CM:V103
<a_42><b_92><c_21>	Personal history of malignant neoplasm of cervix uteri	ICD9CM:V1041
<a_42><b_85><c_125>	Personal history of malignant neoplasm of other parts of uterus	ICD9CM:V1042
<a_42><b_85><c_156>	Personal history of malignant neoplasm of ovary	ICD9CM:V1043
<a_42><b_80><c_106>	Personal history of malignant neoplasm of other female genital organs	ICD9CM:V1044
<a_86><b_150><c_251>	Personal history of malignant neoplasm of prostate	ICD9CM:V1046
<a_86><b_109><c_195>	Personal history of malignant neoplasm of testis	ICD9CM:V1047
<a_86><b_109><c_115>	Personal history of malignant neoplasm of other male genital organs	ICD9CM:V1049
<a_86><b_197><c_86>	Personal history of malignant neoplasm of bladder	ICD9CM:V1051
<a_86><b_76><c_1>	Personal history of malignant neoplasm of kidney	ICD9CM:V1052
<a_86><b_76><c_201>	Personal history of malignant neoplasm of renal pelvis	ICD9CM:V1053
<a_250><b_233><c_195>	Personal history of leukemia, unspecified	ICD9CM:V1060
<a_250><b_233><c_91>	Personal history of lymphoid leukemia	ICD9CM:V1061
<a_250><b_233><c_206>	Personal history of myeloid leukemia	ICD9CM:V1062
<a_250><b_233><c_144>	Personal history of other leukemia	ICD9CM:V1069
<a_250><b_197><c_236>	Personal history of hodgkin's disease	ICD9CM:V1072
<a_250><b_167><c_91>	Personal history of other lymphatic and hematopoietic neoplasms	ICD9CM:V1079
<a_125><b_2><c_91>	Personal history of malignant neoplasm of bone	ICD9CM:V1081
<a_125><b_2><c_134>	Personal history of malignant melanoma of skin	ICD9CM:V1082
<a_125><b_2><c_216>	Personal history of other malignant neoplasm of skin	ICD9CM:V1083
<a_42><b_208><c_142>	Personal history of malignant neoplasm of eye	ICD9CM:V1084
<a_42><b_208><c_209>	Personal history of malignant neoplasm of brain	ICD9CM:V1085
<a_42><b_229><c_58>	Personal history of malignant neoplasm of other parts of nervous system	ICD9CM:V1086
<a_42><b_113><c_101>	Personal history of malignant neoplasm of thyroid	ICD9CM:V1087
<a_125><b_76><c_182>	Personal history of malignant neoplasm of other endocrine glands and related structures	ICD9CM:V1088
<a_125><b_73><c_91>	Personal history of malignant neoplasm of other sites	ICD9CM:V1089
<a_125><b_183><c_127>	Other and unspecified personal history of malignant neoplasm	ICD9CM:V109
<a_125><b_73><c_175>	Personal history of unspecified malignant neoplasm	ICD9CM:V1090
<a_125><b_127><c_199>	Personal history of malignant neuroendocrine tumor	ICD9CM:V1091
<a_127><b_48><c_216>	Personal history of alcoholism	ICD9CM:V113
<a_127><b_78><c_133>	Personal history of other mental disorders	ICD9CM:V118
<a_127><b_60><c_18>	Personal history of tuberculosis	ICD9CM:V1201
<a_127><b_98><c_1>	Personal history of poliomyelitis	ICD9CM:V1202
<a_234><b_36><c_165>	Personal history of Methicillin resistant Staphylococcus aureus	ICD9CM:V1204
<a_127><b_60><c_63>	Personal history of other infectious and parasitic diseases	ICD9CM:V1209
<a_42><b_208><c_73>	Personal history of benign neoplasm of the brain	ICD9CM:V1241
<a_127><b_98><c_17>	Personal history of infections of the central nervous system	ICD9CM:V1242
<a_127><b_177><c_213>	Personal history of venous thrombosis and embolism	ICD9CM:V1251
<a_127><b_177><c_238>	Personal history of thrombophlebitis	ICD9CM:V1252
<a_127><b_2><c_187>	Personal history of sudden cardiac arrest	ICD9CM:V1253
<a_127><b_159><c_4>	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits	ICD9CM:V1254
<a_127><b_177><c_73>	Personal history of pulmonary embolism	ICD9CM:V1255
<a_127><b_56><c_214>	Personal history of other diseases of circulatory system	ICD9CM:V1259
<a_234><b_234><c_213>	Personal history of pneumonia (recurrent)	ICD9CM:V1261
<a_127><b_226><c_74>	Personal history of peptic ulcer disease	ICD9CM:V1271
<a_125><b_114><c_166>	Personal history of colonic polyps	ICD9CM:V1272
<a_127><b_78><c_189>	Personal history of other diseases of digestive system	ICD9CM:V1279
<a_127><b_60><c_6>	Personal history of urinary calculi	ICD9CM:V1301
<a_234><b_234><c_215>	Personal history, urinary (tract) infection	ICD9CM:V1302
<a_234><b_133><c_233>	Personal history of other specified urinary system disorders	ICD9CM:V1309
<a_113><b_99><c_158>	Personal history of pathologic fracture	ICD9CM:V1351
<a_113><b_208><c_104>	Personal history of stress fracture	ICD9CM:V1352
<a_63><b_23><c_86>	Personal history of (corrected) congenital malformations of heart and circulatory system	ICD9CM:V1365
<a_127><b_127><c_187>	Personal history of other (corrected) congenital malformations	ICD9CM:V1369
<a_127><b_63><c_1>	Personal history of other specified diseases	ICD9CM:V138
<a_127><b_63><c_16>	Personal history of other specified diseases	ICD9CM:V1389
<a_234><b_155><c_174>	Personal history of allergy to penicillin	ICD9CM:V140
<a_234><b_226><c_61>	Personal history of allergy to other antibiotic agent	ICD9CM:V141
<a_234><b_155><c_233>	Personal history of allergy to sulfonamides	ICD9CM:V142
<a_234><b_226><c_16>	Personal history of allergy to other anti-infective agent	ICD9CM:V143
<a_234><b_246><c_162>	Personal history of allergy to narcotic agent	ICD9CM:V145
<a_234><b_242><c_88>	Personal history of allergy to analgesic agent	ICD9CM:V146
<a_234><b_14><c_190>	Personal history of allergy to other specified medicinal agents	ICD9CM:V148
<a_234><b_14><c_106>	Allergy to seafood	ICD9CM:V1504
<a_234><b_14><c_73>	Allergy to other foods	ICD9CM:V1505
<a_234><b_14><c_68>	Allergy to latex	ICD9CM:V1507
<a_234><b_14><c_6>	Allergy to radiographic dye	ICD9CM:V1508
<a_234><b_14><c_61>	Other allergy, other than to medicinal agents	ICD9CM:V1509
<a_127><b_22><c_227>	Personal history of surgery to heart and great vessels, presenting hazards to health	ICD9CM:V151
<a_127><b_181><c_13>	Personal history of surgery to other organs, presenting hazards to health	ICD9CM:V152
<a_127><b_161><c_142>	Personal history of surgery to other organs	ICD9CM:V1529
<a_127><b_57><c_54>	Personal history of irradiation, presenting hazards to health	ICD9CM:V153
<a_127><b_14><c_190>	History of physical abuse	ICD9CM:V1541
<a_113><b_208><c_18>	Personal history of traumatic fracture	ICD9CM:V1551
<a_127><b_14><c_239>	Personal history of traumatic brain injury	ICD9CM:V1552
<a_127><b_4><c_122>	Personal history of other injury	ICD9CM:V1559
<a_127><b_238><c_75>	Personal history of noncompliance with medical treatment, presenting hazards to health	ICD9CM:V1581
<a_127><b_57><c_73>	Personal history of tobacco use	ICD9CM:V1582
<a_127><b_146><c_118>	Personal history of contact with and (suspected) exposure to asbestos	ICD9CM:V1584
<a_127><b_242><c_63>	History of fall	ICD9CM:V1588
<a_127><b_234><c_217>	Other specified personal history presenting hazards to health	ICD9CM:V1589
<a_125><b_52><c_156>	Family history of malignant neoplasm of gastrointestinal tract	ICD9CM:V160
<a_86><b_151><c_105>	Family history of malignant neoplasm of trachea, bronchus, and lung	ICD9CM:V161
<a_86><b_153><c_1>	Family history of malignant neoplasm of other respiratory and intrathoracic organs	ICD9CM:V162
<a_86><b_9><c_105>	Family history of malignant neoplasm of breast	ICD9CM:V163
